Timestamp,Symbol,VWAP Bid USD,VWAP Ask USD,Spread %,Bid Volume USD,Ask Volume USD
2025-01-20 19:52:08.014,BTCUSDT,,,,,
2025-01-20 19:52:08.015,ETHUSDT,,,,,
2025-01-20 19:52:09.014,BTCUSDT,,,,,
2025-01-20 19:52:09.015,ETHUSDT,,,,,
2025-01-20 19:52:10.014,BTCUSDT,,,,,
2025-01-20 19:52:10.015,ETHUSDT,,,,,
2025-01-20 19:52:11.014,BTCUSDT,,,,,
2025-01-20 19:52:11.015,ETHUSDT,,,,,
2025-01-20 19:52:12.014,BTCUSDT,,,,,
2025-01-20 19:52:12.015,ETHUSDT,,,,,
2025-01-20 19:52:13.014,BTCUSDT,,,,,
2025-01-20 19:52:13.015,ETHUSDT,,,,,
2025-01-20 19:52:14.014,BTCUSDT,,,,,
2025-01-20 19:52:14.015,ETHUSDT,,,,,
2025-01-20 19:52:15.014,BTCUSDT,,,,,
2025-01-20 19:52:15.015,ETHUSDT,,,,,
2025-01-20 19:52:16.014,BTCUSDT,,,,,
2025-01-20 19:52:16.015,ETHUSDT,,,,,
2025-01-20 19:52:17.014,BTCUSDT,,,,,
2025-01-20 19:52:17.015,ETHUSDT,,,,,
2025-01-20 19:52:18.014,BTCUSDT,,,,,
2025-01-20 19:52:18.015,ETHUSDT,,,,,
2025-01-20 19:52:19.014,BTCUSDT,,,,,
2025-01-20 19:52:19.015,ETHUSDT,,,,,
2025-01-20 19:52:20.014,BTCUSDT,,,,,
2025-01-20 19:52:20.015,ETHUSDT,,,,,
2025-01-20 19:52:50.014,BTCUSDT,108141.99994636564,108143.23938458179,0.0011461210415550553,620315.9801623999,4523784.8187981
2025-01-20 19:52:50.015,ETHUSDT,3371.0867045508653,3371.106270928464,0.000580417512610399,534956.5748369999,3884112.0663
2025-01-20 19:52:51.014,BTCUSDT,108141.99948132267,108144.60484034572,0.0024092018231164007,696030.0091756,5109912.0474803
2025-01-20 19:52:51.015,ETHUSDT,3371.0784217684763,3371.1035668481154,0.0007459061016405787,889823.9278049996,4079930.4955970002
2025-01-20 19:52:52.014,BTCUSDT,108141.99952845207,108142.04535346541,0.000042374853005962005,869703.0469707,8956776.0775918
2025-01-20 19:52:52.015,ETHUSDT,3371.0804524371383,3371.104480583724,0.0007127728609512964,1115577.629724,4460723.493566001
2025-01-20 19:52:53.014,BTCUSDT,108141.54937209249,108142.01223813635,0.00042801869082577604,984102.7735710999,9220577.916385002
2025-01-20 19:52:53.015,ETHUSDT,3371.0661851841614,3371.147178713993,0.0024026087113803067,1428260.4922640002,12805819.136001002
2025-01-20 19:52:54.014,BTCUSDT,108141.57350168757,108142.09759639265,0.0004846375802630854,1386132.0820541994,9534098.466385702
2025-01-20 19:52:54.015,ETHUSDT,3371.0695277445375,3371.101648904989,0.0009528477590587039,3290917.201463,29718304.570354
2025-01-20 19:52:55.014,BTCUSDT,108143.95434636688,108146.5878904793,0.0024352208390585727,6035919.282792302,9538781.569273602
2025-01-20 19:52:55.015,ETHUSDT,3371.202714844601,3371.3740861012743,0.0050833862917469145,3697808.7088590004,29876123.247725002
2025-01-20 19:52:56.014,BTCUSDT,108143.95441590557,108146.5608940071,0.0024101930760790395,6128591.452006001,9712398.0319537
2025-01-20 19:52:56.015,ETHUSDT,3371.2127125310503,3371.33031555149,0.0034884485337437956,3740343.974742001,30687354.269394003
2025-01-20 19:52:57.014,BTCUSDT,108143.95428403352,108146.54870115333,0.002399040368906881,23542251.256395303,10020711.28546
2025-01-20 19:52:57.015,ETHUSDT,3371.2105797445975,3371.5126281966345,0.008959643572901733,12789433.876962,30719790.354703
2025-01-20 19:52:58.014,BTCUSDT,108165.23122442263,108188.66075304186,0.021660868611845387,27035062.6652389,13077252.424856298
2025-01-20 19:52:58.015,ETHUSDT,3372.3009173625123,3373.4704740208754,0.03468126620437388,15620425.037395002,33689363.748775005
2025-01-20 19:52:59.014,BTCUSDT,108174.09542221786,108189.32449312913,0.014078297444346707,27687769.286711,14275785.124451501
2025-01-20 19:52:59.015,ETHUSDT,3372.7281802806856,3373.948631273962,0.03618586876973514,16461686.842922999,42884351.056397
2025-01-20 19:53:00.014,BTCUSDT,108171.62516835157,108184.95656815577,0.01232430388602492,27248876.4534083,14873760.693387903
2025-01-20 19:53:00.015,ETHUSDT,3372.9689886201327,3374.170985101837,0.035636155735776026,16512704.567411996,43061137.167874
2025-01-20 19:53:01.014,BTCUSDT,108171.737725547,108184.06387987387,0.011394985960319745,27633859.761597298,15033334.351500798
2025-01-20 19:53:01.015,ETHUSDT,3372.988335939291,3374.309902605363,0.03918088455837132,21053706.693468995,43245744.523036
2025-01-20 19:53:02.014,BTCUSDT,108169.42103384103,108182.30969384032,0.011915252828478762,29306978.535943504,15297744.585036904
2025-01-20 19:53:02.015,ETHUSDT,3372.712192093155,3374.256762380369,0.045796089296766165,20891061.221287,45297263.430902004
2025-01-20 19:53:03.014,BTCUSDT,108161.82898513797,108176.62173468474,0.013676497231575525,30592760.58341361,65752998.67381019
2025-01-20 19:53:03.015,ETHUSDT,3372.6059631276944,3373.987598375857,0.04096639996690673,20944411.458750002,45626897.617472
2025-01-20 19:53:04.014,BTCUSDT,108163.9608597411,108177.50425245777,0.012521169351625526,31136767.3157724,65401449.21749659
2025-01-20 19:53:04.015,ETHUSDT,3372.615423176836,3373.963726056642,0.03997796103701347,21114886.098327003,48283572.97484
2025-01-20 19:53:05.014,BTCUSDT,108166.40751020589,108186.45135659311,0.01853056494026183,32067035.3843053,87955174.85595638
2025-01-20 19:53:05.015,ETHUSDT,3372.7112876295087,3373.9742005835215,0.03744503594615186,24704593.364010006,49416103.95318199
2025-01-20 19:53:06.014,BTCUSDT,108165.01486116537,108178.12313106967,0.012118770492592865,31908902.0971786,88782097.19131298
2025-01-20 19:53:06.015,ETHUSDT,3372.6981992858587,3373.9527701392703,0.03719783921601178,24706704.900743004,49809174.34449999
2025-01-20 19:53:07.014,BTCUSDT,108163.9302835163,108176.80101851818,0.011899285619656056,38815856.2545817,88997052.65080447
2025-01-20 19:53:07.015,ETHUSDT,3372.638504374481,3373.9515512246808,0.03893233290484188,25779194.495152004,50122169.86613
2025-01-20 19:53:08.046,BTCUSDT,108097.52167626788,108125.48611788114,0.025869641763863395,36960408.127776586,90550713.9889784
2025-01-20 19:53:08.047,ETHUSDT,3371.6153298200447,3372.968877370457,0.04014537300388009,25036295.164388005,50005982.571801014
2025-01-20 19:53:09.014,BTCUSDT,108091.51120308657,108119.88800622779,0.026252573236674254,38360918.70053938,95655529.29042229
2025-01-20 19:53:09.015,ETHUSDT,3371.3528822355324,3372.615677220515,0.03745662436099436,25820846.180666007,50413927.04180201
2025-01-20 19:53:10.014,BTCUSDT,108102.45667838868,108127.4086632782,0.023081792640243074,42292047.99224958,95441452.77830708
2025-01-20 19:53:10.015,ETHUSDT,3371.799092300607,3373.061426804068,0.03743801065560996,26315542.220644012,49964814.783599
2025-01-20 19:53:11.014,BTCUSDT,108110.46427848237,108130.2807375557,0.01832982515206903,42846248.368892886,95513047.90177628
2025-01-20 19:53:11.015,ETHUSDT,3371.6061447373504,3373.2611385113437,0.04908621300790184,26092752.922764007,50387648.15824501
2025-01-20 19:53:12.014,BTCUSDT,108097.26873576725,108121.28139652582,0.022213938464316185,42432658.51968268,97508181.38168618
2025-01-20 19:53:12.015,ETHUSDT,3370.9658588782477,3372.4332555034425,0.043530450518509706,25877253.875201013,50779023.16408501
2025-01-20 19:53:13.014,BTCUSDT,108109.58024456975,108135.86636289749,0.02431432835857504,43056383.492679894,96110690.82421498
2025-01-20 19:53:13.015,ETHUSDT,3371.2256714444984,3372.595456674026,0.04063166821284779,25941294.791261006,50651948.56538402
2025-01-20 19:53:14.014,BTCUSDT,108121.27034177682,108146.06020525892,0.022927832242204595,43266371.90376239,96170958.86561488
2025-01-20 19:53:14.015,ETHUSDT,3371.7356039008805,3373.058062882176,0.039221906360786804,29622791.38798,50931085.384269014
2025-01-20 19:53:15.014,BTCUSDT,108120.18636552797,108142.10244524745,0.020270109085259277,43036715.67422729,96404950.10251607
2025-01-20 19:53:15.015,ETHUSDT,3371.424534262217,3372.965126183571,0.045695577809845345,29547033.087659,51060604.75511502
2025-01-20 19:53:16.014,BTCUSDT,108119.49076426942,108142.07341672212,0.020886754361379555,43067200.519327484,121569486.64782968
2025-01-20 19:53:16.015,ETHUSDT,3371.4675410674786,3372.8631305446966,0.04139412467177746,29492500.489548005,51283374.852278024
2025-01-20 19:53:17.014,BTCUSDT,108120.46145013093,108140.3483209431,0.018393253733333472,43396577.498607986,121576666.64764558
